FULLNAME,POSTCODE,CUSTID,IPID,PRODUCTNAME,QUOTECOUNT,POLICYNO,QUOTEDATE,QUOTE_PRODUCT,ORIGINALPREMIUM,TOTALPREMIUMPAYABLE,CREATEDDATE,BRAND,BRANCHCODE,POLICY_STATUS_DESC,TYPEOFCOVER_DESC,INSURER_NAME,INCEPTIONDATE,RENEWALDATE
George Cox,E2 7GU,34a1d36db5bd35bc94574c05ff22cc6c,171961,AgeasDirectPC,14,GDCCA04872453,2023-05-03,AgeasDirectPC,432.87,,2023-05-06,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2020-11-19,2023-11-19
George Cox,E2 7GU,34a1d36db5bd35bc94574c05ff22cc6c,171961,AgeasDirectPC,14,GDCCA04872453,2023-05-03,AgeasDirectPC,432.87,0.00,2023-05-06,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2020-11-19,2023-11-19
George Cox,E2 7GU,34a1d36db5bd35bc94574c05ff22cc6c,171961,AgeasDirectPC,14,GDCCA04872453,2023-05-03,AgeasDirectPC,432.87,0.00,2023-05-06,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2020-11-19,2023-11-19
Wendy Webster,E20 5XP,865f58f26d291e9f93ac310e6fe93fc1,439619,AgeasDirectPC,28,ACE310695-08,2023-05-03,MotorPanel,,0.00,2023-05-29,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-29,2024-05-29
Wayne Rowley,E20 9NG,6baa700cb891a7262be6ce40c750f8a7,351720,AgeasDirectPC,33,GDCCA06452301,2023-05-03,AgeasDirectPC,439.73,,2023-05-13,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-31,2024-05-31
Wayne Rowley,E20 9NG,6baa700cb891a7262be6ce40c750f8a7,351720,AgeasDirectPC,33,GDCCA06452301,2023-05-03,AgeasDirectPC,439.73,,2023-05-13,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-31,2024-05-31
Wayne Rowley,E20 9NG,6baa700cb891a7262be6ce40c750f8a7,351720,AgeasDirectPC,33,GDCCA06452301,2023-05-03,AgeasDirectPC,439.73,,2023-05-13,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-31,2024-05-31
Craig Hobbs,E21 2AQ,4bc08f555017191f6c928277c8b56308,247427,AgeasDirectPC,10,GDCCA06443543,2023-05-02,AgeasDirectPC,225.60,,2023-05-16,AgeasDirect,AUTO,In The Renewal Cycle,Comprehensive,Ageas,2022-06-08,2023-06-08
Dawn Finch,E21 7HB,4e2bd059857650aa2d2eac297d92dc26,255479,AgeasDirectPC,12,ACD793021-50,2023-05-04,MotorPanel,,0.00,2023-05-29,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-29,2024-05-29
James White,E22 0JG,11b5147ae4cdc4fb14b5440df219cab6,57727,AgeasDirectPC,16,AP2124970-03,2023-05-05,MotorPanel,,0.00,2023-05-07,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-07,2024-05-07
Gordon Martin,E22 8QT,1aa087d5346d8d81003475f8eef455bf,86540,AgeasDirectPC,7,GDCCA04850633,2023-05-03,AgeasDirectPC,516.43,0.00,2023-05-09,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2020-09-09,2023-09-09
Gordon Martin,E22 8QT,1aa087d5346d8d81003475f8eef455bf,86540,AgeasDirectPC,7,GDCCA04850633,2023-05-03,AgeasDirectPC,516.43,,2023-05-09,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2020-09-09,2023-09-09
Mohammed Moore,E22 9XD,05dae1c866fe1948e05b7ff6a1e6c4ad,19104,AgeasDirectPC,6,GDCCA02397196,2023-05-05,AgeasDirectPC,261.25,,2023-05-06,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2019-05-06,2024-05-06
Mohammed Moore,E22 9XD,05dae1c866fe1948e05b7ff6a1e6c4ad,19104,AgeasDirectPC,6,GDCCA02397196,2023-05-05,AgeasDirectPC,261.25,,2023-05-06,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2019-05-06,2024-05-06
Rosie Price,E24 5RY,4ca0e871aa661c25c36eab11909f64ee,250280,AgeasDirectPC,25,GDCCA06446307,2023-05-03,AgeasDirectPC,339.53,,2023-05-20,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-09,2024-06-09
Marie Robson,E24 6XG,a9ce679f6f37dd6517fe946f6bb84704,555226,AgeasDirectPC,12,GDCCA06986392,2023-05-04,AgeasDirectPC,287.92,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Marie Robson,E24 6XG,a9ce679f6f37dd6517fe946f6bb84704,555226,AgeasDirectPC,12,GDCCA06986392,2023-05-04,AgeasDirectPC,287.92,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Marie Robson,E24 6XG,a9ce679f6f37dd6517fe946f6bb84704,555226,AgeasDirectPC,12,GDCCA06986392,2023-05-05,AgeasDirectPC,287.92,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Marie Robson,E24 6XG,a9ce679f6f37dd6517fe946f6bb84704,555226,AgeasDirectPC,12,GDCCA06986392,2023-05-05,AgeasDirectPC,287.92,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Aaron Dunn,E24 6YX,796b70af81fb9e3278750f7c0967df50,396840,AgeasDirectPC,16,GDCCA06456415,2023-05-01,AgeasDirectPC,581.34,,2023-05-23,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-07,2024-06-07
Justin Atkinson,E25 5WS,2dba6e859a4aeee1e5b72e1c3af41877,149168,RIASPC,9,GDCCA06257069,2023-05-04,RIASPC,477.09,,2023-05-12,Rias,AUTO,Confirmed,Comprehensive,Ageas RIAS,2023-05-09,2024-05-09
Michael Jenkins,E25 9FE,4304765499e273128b3ffa7ad86528c0,218871,AgeasDirectPC,17,ACC237280-01,2023-05-02,MotorPanel,,323.85,2023-05-09,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-08,2024-05-08
George Pope,E25 9XQ,65f652639b4a3689b8438e6b00597d28,333118,AgeasDirectPC,52,APQ393623-24,2023-05-01,MotorPanel,,0.00,2023-05-23,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-01,2024-06-01
Roy Lee,E27 5YS,08d19c9ed9a60a02b8b25fb0298c0d59,28859,AgeasDirectPC,6,GDCCA05883744,2023-05-02,AgeasDirectPC,328.32,,2023-05-06,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2021-07-18,2023-07-18
Jessica White,E2B 3HD,976dc4e8e1c827dc5bba1aafb9b5e47b,495313,AgeasDirectPC,13,ACE579208-05,2023-05-03,MotorPanel,,0.00,2023-05-16,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-16,2024-05-16
Jessica White,E2B 3HD,976dc4e8e1c827dc5bba1aafb9b5e47b,495313,AgeasDirectPC,13,ACE579208-05,2023-05-03,MotorPanel,,0.00,2023-05-31,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-16,2024-05-16
Jack Holmes,E2B 6QQ,c783a3e434823a39e8991076397290f1,652162,AgeasDirectPC,132,ACE836222-01,2023-05-05,MotorPanel,,289.34,2023-05-29,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-04,2024-06-04
Bradley Barker,E2G 0AZ,0e11e1b7eb41bfe5267da92f939cbff4,45898,RIASPC,16,GDCCA06216943,2023-05-02,RIASPC,294.53,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-05-21,2024-05-21
Bradley Barker,E2G 0AZ,0e11e1b7eb41bfe5267da92f939cbff4,45898,RIASPC,16,GDCCA06216943,2023-05-02,RIASPC,294.53,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-05-21,2024-05-21
Bradley Barker,E2G 0AZ,0e11e1b7eb41bfe5267da92f939cbff4,45898,RIASPC,16,GDCCA06216943,2023-05-02,RIASPC,304.84,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-05-21,2024-05-21
Bradley Barker,E2G 0AZ,0e11e1b7eb41bfe5267da92f939cbff4,45898,RIASPC,16,GDCCA06216943,2023-05-02,RIASPC,294.53,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-05-21,2024-05-21
Bradley Barker,E2G 0AZ,0e11e1b7eb41bfe5267da92f939cbff4,45898,RIASPC,16,ACE050698-01,2023-05-01,MotorPanel,,0.00,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-05-21,2024-05-21
Mohammad White,E2G 2LE,f92413cf6c705fc87e09ffae802c8e88,813878,AgeasDirectPC,43,ACE695924-01,2023-05-04,MotorPanel,,0.00,2023-05-13,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-13,2024-05-13
Denise Harris,E2K 0QA,49e0ea115dd208e526e30ad5116259b5,241315,AgeasDirectPC,23,GDCCA06449294,2023-05-01,AgeasDirectPC,341.16,,2023-05-26,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-07,2024-06-07
Janet Jones,E2K 3SQ,ed018535417fcf360c50306e91e6bb33,774063,RIASPC,6,GDCCA05024421,2023-05-03,RIASPC,1107.71,,2023-05-26,Rias,AUTO,In The Renewal Cycle,Comprehensive,Ageas RIAS,2021-07-02,2023-07-02
Diana Wilson,E2T 2HB,4cd778507e2c9eaaf1d1cedd5369ab31,251007,AgeasDirectPC,7,GDCCA06457515,2023-05-04,AgeasDirectPC,348.02,,2023-05-26,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-10,2024-06-10
Alison Day,E2W 5JJ,3bc0e16b052dc1410293f4f3afa29c2f,195391,RIASPC,9,GDCCA06219836,2023-05-03,RIASPC,122.47,,2023-05-26,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-06-06,2024-06-06
Antony Ali,E3 0BJ,421d52027f28fdd4ffc5fb9106857dda,215955,AgeasDirectPC,30,GDCCA06988049,2023-05-05,AgeasDirectPC,257.05,,2023-05-23,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-03,2024-05-03
Antony Woodward,E3 1QX,8d2cdbbea8e1b7383c067bd16874d044,461720,RIASPC,7,ACE176963-02,2023-05-02,MotorPanel,,640.39,2023-05-03,Rias,AUTO,Confirmed,Comprehensive,Ageas RIAS,2023-05-02,2024-05-02
Barbara Lyons,E3 7WD,c0b6c97ab2e1dee2c08406e1dd9ae000,629971,AgeasDirectPC,10,AC4655664-07,2023-05-03,MotorPanel,,849.63,2023-05-16,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-16,2024-05-16
Mohammed Spencer,E30 0WB,fc3e9836650af80430110dd0af9e7690,823995,AgeasDirectPC,6,GDCCA06980710,2023-05-03,AgeasDirectPC,324.89,,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-23,2024-04-23
Mohammed Spencer,E30 0WB,fc3e9836650af80430110dd0af9e7690,823995,AgeasDirectPC,6,GDCCA06980710,2023-05-03,AgeasDirectPC,324.89,0.00,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-23,2024-04-23
Mohammed Spencer,E30 0WB,fc3e9836650af80430110dd0af9e7690,823995,AgeasDirectPC,6,GDCCA06980710,2023-05-03,AgeasDirectPC,324.89,0.00,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-23,2024-04-23
Mohammed Spencer,E30 0WB,fc3e9836650af80430110dd0af9e7690,823995,AgeasDirectPC,6,GDCCA06980710,2023-05-03,AgeasDirectPC,324.89,,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-23,2024-04-23
Damien Collins,E30 9ZT,94df7d5605e6b4fb1f56216f7f830ad2,487009,AgeasDirectPC,9,GDCCA06454215,2023-05-01,AgeasDirectPC,186.55,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-04,2024-06-04
Damien Collins,E30 9ZT,94df7d5605e6b4fb1f56216f7f830ad2,487009,AgeasDirectPC,9,GDCCA06454215,2023-05-03,AgeasDirectPC,186.55,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-04,2024-06-04
Damien Collins,E30 9ZT,94df7d5605e6b4fb1f56216f7f830ad2,487009,AgeasDirectPC,9,GDCCA06454215,2023-05-02,AgeasDirectPC,186.55,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-04,2024-06-04
Rosemary Holmes,E31 1ZT,a801394c9e1a30edc7daa43fc30bc963,549539,AgeasDirectPC,20,ANJ639498-17,2023-05-03,MotorPanel,,0.00,2023-05-17,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-18,2024-05-18
Rosemary Holmes,E31 1ZT,a801394c9e1a30edc7daa43fc30bc963,549539,AgeasDirectPC,20,ANJ639498-17,2023-05-03,MotorPanel,,0.00,2023-05-19,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-18,2024-05-18
Donna Webster,E32 7JF,a3f6e086d06c17f4d0e38cf68a729a38,536422,AgeasDirectPC,7,GDCCA06983674,2023-05-05,AgeasDirectPC,335.59,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-28,2024-04-28
Donna Webster,E32 7JF,a3f6e086d06c17f4d0e38cf68a729a38,536422,AgeasDirectPC,7,GDCCA06983674,2023-05-05,AgeasDirectPC,335.59,0.00,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-28,2024-04-28
Donna Webster,E32 7JF,a3f6e086d06c17f4d0e38cf68a729a38,536422,AgeasDirectPC,7,GDCCA06983674,2023-05-05,AgeasDirectPC,335.59,0.00,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-28,2024-04-28
Donna Webster,E32 7JF,a3f6e086d06c17f4d0e38cf68a729a38,536422,AgeasDirectPC,7,GDCCA06983674,2023-05-05,AgeasDirectPC,335.59,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-28,2024-04-28
Donna Webster,E32 7JF,a3f6e086d06c17f4d0e38cf68a729a38,536422,AgeasDirectPC,7,GDCCA06983674,2023-05-05,AgeasDirectPC,335.59,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-28,2024-04-28
Phillip Hayes,E33 9FT,18b86fc9c2d035e8e13182ba89c1135a,80397,AgeasDirectPC,6,GDCCA06986921,2023-05-04,AgeasDirectPC,321.01,,2023-05-05,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-01,2024-05-01
Phillip Hayes,E33 9FT,18b86fc9c2d035e8e13182ba89c1135a,80397,AgeasDirectPC,6,GDCCA06986921,2023-05-02,AgeasDirectPC,321.01,,2023-05-05,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-01,2024-05-01
David Morgan,E35 1GX,c235ae9944a52acf438382915ecf3b76,634843,AgeasDirectPC,6,GDCCA06165532,2023-05-05,AgeasDirectPC,937.48,,2023-05-10,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-04-13,2024-04-13
Damien Morgan,E35 6RA,fb8df6f2374eecc9f455030450127d8f,821723,RIASPC,10,GDCCA02261118,2023-05-03,RIASPC,240.53,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2018-08-24,2023-08-24
Sally Quinn,E38 2YD,54640e844ae67ca3669f3f89120fe16f,275860,AgeasDirectPC,74,AC4931403-05,2023-05-02,MotorPanel,,1491.76,2023-05-28,AgeasDirect,AUTO,NewBusiness,Comprehensive,Ageas,2023-05-27,2024-05-27
Eric Young,E39 3HY,0031f2ecf80967b593729f2b49fa84cb,693,AgeasDirectPC,26,APQ534841-50,2023-05-01,MotorPanel,,0.00,2023-05-21,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-12,2024-06-12
Marian Andrews,E3A 9EN,56cf64a16c1d55bffc69268723a97e79,283834,AgeasDirectPC,14,GDCCA06441059,2023-05-02,AgeasDirectPC,153.48,,2023-05-29,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-29,2024-05-29
Marian Andrews,E3A 9EN,56cf64a16c1d55bffc69268723a97e79,283834,AgeasDirectPC,14,GDCCA06441059,2023-05-02,AgeasDirectPC,152.46,,2023-05-29,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-29,2024-05-29
Russell Martin,E3B 4PY,d9c26460984ce4173cafe18229e11d72,711546,AgeasDirectPC,26,ACE359030-01,2023-05-02,MotorPanel,,0.00,2023-05-28,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-14,2024-06-14
Graham Campbell,E3C 6UU,f4f060bcecaae250432f5e29db82aa0e,800015,AgeasDirectPC,39,ACE426450-03,2023-05-03,MotorPanel,,0.00,2023-05-20,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-19,2024-05-19
Graham Campbell,E3C 6UU,f4f060bcecaae250432f5e29db82aa0e,800015,AgeasDirectPC,39,ACE426450-03,2023-05-03,MotorPanel,,0.00,2023-05-15,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-15,2024-05-15
Geraldine Young,E3D 8DW,2e1eeec564a4e0dc8b853921867680d1,150529,RIASPC,11,GDCCA05017766,2023-05-02,RIASPC,194.86,,2023-05-18,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-06-10,2024-06-10
Geraldine Young,E3D 8DW,2e1eeec564a4e0dc8b853921867680d1,150529,RIASPC,11,GDCCA05017766,2023-05-04,RIASPC,194.86,,2023-05-18,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-06-10,2024-06-10
Tracey Barker,E3F 5TL,e48dad87b07df36adf91a64ccffe5c77,746490,AgeasDirectPC,54,ACE693981-01,2023-05-04,MotorPanel,,1345.33,2023-05-17,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-03,2024-06-03
Tracey Barker,E3F 5TL,e48dad87b07df36adf91a64ccffe5c77,746490,AgeasDirectPC,54,ACE693981-01,2023-05-04,MotorPanel,,1345.33,2023-05-15,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-06-03,2024-06-03
Nicola Roberts,E3G 9LG,2a873773e1b7354b0ddba5a841e566d6,138687,RIASPC,7,GDCCA06221370,2023-05-03,RIASPC,409.79,,2023-05-25,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-06-16,2024-06-16
Aaron Davies,E3J 0ZA,e191455bdac40b4bee3ed0a832853686,736807,AgeasDirectPC,6,GDCCA06975854,2023-05-05,AgeasDirectPC,165.39,,2023-05-10,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-25,2024-04-25
Sharon Watts,E3K 0NR,5caee3a86eb96811c984f885e1d326e2,302973,AgeasDirectPC,91,GDCCA06987517,2023-05-03,AgeasDirectPC,813.71,,2023-05-16,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-16,2024-05-16
Rachel Robertson,E3S 2LJ,9b61e15902e5e7a24ddb352d80e3f345,508365,RIASPC,7,GDCCA02670862,2023-05-04,RIASPC,140.89,,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-08-01,2023-08-01
Rachel Robertson,E3S 2LJ,9b61e15902e5e7a24ddb352d80e3f345,508365,RIASPC,7,GDCCA02670862,2023-05-04,RIASPC,140.89,,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-08-01,2023-08-01
Rachel Robertson,E3S 2LJ,9b61e15902e5e7a24ddb352d80e3f345,508365,RIASPC,7,GDCCA02670862,2023-05-04,RIASPC,140.89,,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-08-01,2023-08-01
Rachel Robertson,E3S 2LJ,9b61e15902e5e7a24ddb352d80e3f345,508365,RIASPC,7,GDCCA02670862,2023-05-03,RIASPC,140.89,,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-08-01,2023-08-01
Rachel Robertson,E3S 2LJ,9b61e15902e5e7a24ddb352d80e3f345,508365,RIASPC,7,GDCCA02670862,2023-05-04,RIASPC,140.89,0.00,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-08-01,2023-08-01
Clare Wilson,E3T 0FB,d31b0f22410837b0fa28474110cb9bab,690133,AgeasDirectPC,9,GDCCA06190684,2023-05-05,AgeasDirectPC,480.18,,2023-05-23,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-09,2024-05-09
Clare Wilson,E3T 0FB,d31b0f22410837b0fa28474110cb9bab,690133,AgeasDirectPC,9,GDCCA06190684,2023-05-05,AgeasDirectPC,480.18,,2023-05-23,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-09,2024-05-09
Duncan Roberts,E3T 5JS,3db116ff4ba304f68bb631c5d1b354e4,201665,AgeasDirectPC,6,GDCCA06187774,2023-05-01,AgeasDirectPC,1099.76,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-04-27,2024-04-27
Duncan Roberts,E3T 5JS,3db116ff4ba304f68bb631c5d1b354e4,201665,AgeasDirectPC,6,GDCCA06187774,2023-05-01,AgeasDirectPC,1099.76,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-04-27,2024-04-27
Shirley Williams,E3T 5ZP,5e3907e6a47ec32add4840d0eb27fc20,307934,RIASPC,18,ACE405337-01,2023-05-03,MotorPanel,,1002.02,2023-05-26,Rias,AUTO,Confirmed,Comprehensive,Ageas RIAS,2023-05-25,2024-05-25
Judith Brookes,E3T 9ZX,a023113a1a3a9a09573a59036ef4255b,523979,RIASPC,32,GDCCA03020897,2023-05-03,RIASPC,600.57,,2023-05-13,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2020-07-18,2023-07-18
Julie Davies,E3U 2DU,3795d0b31bf73f4841282d7d25a26558,181618,RIASPC,6,GDCCA02674636,2023-05-03,RIASPC,328.90,,2023-05-31,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-08-15,2023-08-15
Irene Arnold,E4 0GN,2cfb7ad15b2178161634b3f5527bf658,146634,AgeasDirectPC,255,GDCCA06518044,2023-05-04,AgeasDirectPC,1007.98,,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-11-24,2023-11-24
Irene Arnold,E4 0GN,2cfb7ad15b2178161634b3f5527bf658,146634,AgeasDirectPC,255,GDCCA06518044,2023-05-04,AgeasDirectPC,1007.98,,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-11-24,2023-11-24
Irene Arnold,E4 0GN,2cfb7ad15b2178161634b3f5527bf658,146634,AgeasDirectPC,255,GDCCA06518044,2023-05-04,AgeasDirectPC,1007.98,0.00,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-11-24,2023-11-24
Irene Arnold,E4 0GN,2cfb7ad15b2178161634b3f5527bf658,146634,AgeasDirectPC,255,GDCCA06518044,2023-05-04,AgeasDirectPC,1007.98,0.00,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-11-24,2023-11-24
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-05,RIASPC,301.07,0.00,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-05,RIASPC,301.07,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-05,RIASPC,301.07,0.00,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-04,RIASPC,301.07,0.00,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-05,RIASPC,301.07,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-04,RIASPC,301.07,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-01,RIASPC,301.07,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Frances Gibbs,E4 0RW,1327a3d5155f472823b0ecbe1fa0f3c9,62446,RIASPC,10,R897360A,2023-05-03,RIASPC,301.07,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-08-09,2023-08-09
Roy Walters,E4 2JQ,10a190145a529dd6af604fd01f372581,54253,RIASPC,6,GDCCA03021699,2023-05-03,RIASPC,234.36,,2023-05-18,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2020-08-05,2023-08-05
Pauline McLean,E4 3QU,aa10b81950c5687b553cf2cb0636af23,556024,RIASPC,13,GDCCA02235365,2023-05-03,RIASPC,120.24,,2023-05-24,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2018-07-09,2023-07-09
Hannah Page,E4 3WU,40660b07f87357ed301233886203bfe6,210401,AgeasDirectPC,9,GDCCA06443940,2023-05-03,AgeasDirectPC,211.03,,2023-05-22,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-09,2024-06-09
Sean Anderson,E4 4PP,3c411fb8cbd280fd4ef3e159f8147453,197023,AgeasDirectPC,10,GDCCA06442606,2023-05-02,AgeasDirectPC,150.00,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-04,2024-06-04
Sean Anderson,E4 4PP,3c411fb8cbd280fd4ef3e159f8147453,197023,AgeasDirectPC,10,GDCCA06442606,2023-05-02,AgeasDirectPC,136.54,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-04,2024-06-04
Leonard Wilson,LE0 5NL,c430164270ffc35c2d706b33d56dedcb,641306,AgeasDirectPC,12,GDCCA06181893,2023-05-03,AgeasDirectPC,618.02,,2023-05-17,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-04-23,2024-04-23
Leonard Wilson,LE0 5NL,c430164270ffc35c2d706b33d56dedcb,641306,AgeasDirectPC,12,GDCCA06181893,2023-05-05,AgeasDirectPC,618.02,,2023-05-17,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-04-23,2024-04-23
Leanne Martin,LE0R 3RP,4b640c061635a522ed91e539c2e01c3f,246209,AgeasDirectPC,59,GDCCA06191676,2023-05-03,AgeasDirectPC,283.38,,2023-05-13,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-13,2024-05-13
